高山市,"['', '相生町', '赤保木町', '曙町', '旭ケ丘町', '朝日町青屋', '朝日町上ケ見', '朝日町浅井', '朝日町一之宿', '朝日町大廣', '朝日町甲', '朝日町黍生谷', '朝日町胡桃島', '朝日町黒川', '朝日町桑之島', '朝日町小瀬', '朝日町小瀬ケ洞', '朝日町小谷', '朝日町立岩', '朝日町寺澤', '朝日町寺附', '朝日町西洞', '朝日町万石', '朝日町見座', '朝日町宮之前', '朝日町', '愛宕町', '石浦町', '一之宮町', '岩井町', '有楽町', '漆垣内町', '漆垣内町', '漆垣内町', '上野町', '越後町', '江名子町', '大島町', '大新町', '大洞町', '岡本町', '奥飛騨温泉郷赤桶', '奥飛騨温泉郷今見', '奥飛騨温泉郷柏当', '奥飛騨温泉郷神坂', '奥飛騨温泉郷神坂', '奥飛騨温泉郷笹嶋', '奥飛騨温泉郷田頃家', '奥飛騨温泉郷蓼之俣', '奥飛騨温泉郷栃尾', '奥飛騨温泉郷中尾', '奥飛騨温泉郷一重ケ根', '奥飛騨温泉郷一重ケ根', '奥飛騨温泉郷一重ケ根', '奥飛騨温泉郷平湯', '奥飛騨温泉郷平湯', '奥飛騨温泉郷平湯', '奥飛騨温泉郷福地', '奥飛騨温泉郷村上', '春日町', '片野町', '片原町', '上一之町', '上二之町', '上三之町', '上岡本町', '上岡本町', '上岡本町', '上岡本町', '上川原町', '上切町', '上宝町新田', '上宝町荒原', '上宝町岩井戸', '上宝町芋生茂', '上宝町金木戸', '上宝町葛山', '上宝町蔵柱', '上宝町在家', '上宝町下佐谷', '上宝町双六', '上宝町長倉', '上宝町中山', '上宝町鼠餅', '上宝町本郷', '上宝町本郷', '上宝町見座', '上宝町宮原', '上宝町吉野', '川原町', '神田町', '清見町池本', '清見町江黒', '清見町大谷', '清見町大原', '清見町上小鳥', '清見町坂下', '清見町巣野俣', '清見町夏厩', '清見町楢谷', '清見町二本木', '清見町福寄', '清見町藤瀬', '清見町牧ケ洞', '清見町牧ケ洞', '清見町三日町', '清見町三日町', '清見町三ツ谷', '清見町森茂', '桐生町', '桐生町', '久々野町阿多粕', '久々野町有道', '久々野町大西', '久々野町久々野', '久々野町久須母', '久々野町小坊', '久々野町小屋名', '久々野町辻', '久々野町木賊洞', '久々野町長淀', '久々野町渚', '久々野町引下', '久々野町無数河', '久々野町無数河', '久々野町柳島', '久々野町山梨', '国府町今', '国府町宇津江', '国府町瓜巣', '国府町漆垣内', '国府町金桶', '国府町上広瀬', '国府町木曽垣内', '国府町桐谷', '国府町三川', '国府町鶴巣', '国府町名張', '国府町西門前', '国府町糠塚', '国府町半田', '国府町東門前', '国府町広瀬町', '国府町広瀬町', '国府町三日町', '国府町蓑輪', '国府町宮地', '国府町村山', '国府町山本', '国府町八日町', '左京町', '桜町', '三福寺町', '塩屋町', '島川原町', '下一之町', '下一之町', '下二之町', '下三之町', '下岡本町', '下切町', '下之切町', '下林町', '下林町', '荘川町赤谷', '荘川町新渕', '荘川町新渕', '荘川町一色', '荘川町岩瀬', '荘川町牛丸', '荘川町尾上郷', '荘川町海上', '荘川町黒谷', '荘川町猿丸', '荘川町三谷', '荘川町惣則', '荘川町寺河戸', '荘川町中野', '荘川町中畑', '荘川町野々俣', '荘川町牧戸', '荘川町町屋', '荘川町三尾河', '荘川町六厩', '昭和町', '昭和町', '城山', '新宮町', '神明町', '末広町', '宗猷寺町', '総和町', '大門町', '高根町阿多野郷', '高根町池ケ洞', '高根町猪之鼻', '高根町大古井', '高根町上ケ洞', '高根町黍生', '高根町小日和田', '高根町下之向', '高根町留之原', '高根町中之宿', '高根町中洞', '高根町野麦', '高根町日影', '高根町日和田', '滝町', '匠ケ丘町', '千島町', '鉄砲町', '天性寺町', '天満町', '天満町', '天満町', '問屋町', '中切町', '中切町', '長坂町', '中山町', '名田町', '七日町', '西之一色町', '西洞町', '西町', '丹生川町芦谷', '丹生川町池之俣', '丹生川町板殿', '丹生川町岩井谷', '丹生川町瓜田', '丹生川町大萱', '丹生川町大谷', '丹生川町大沼', '丹生川町折敷地', '丹生川町柏原', '丹生川町北方', '丹生川町桐山', '丹生川町久手', '丹生川町小野', '丹生川町根方', '丹生川町三之瀬', '丹生川町塩屋', '丹生川町下保', '丹生川町白井', '丹生川町曽手', '丹生川町駄吉', '丹生川町新張', '丹生川町旗鉾', '丹生川町日影', '丹生川町日面', '丹生川町坊方', '丹生川町坊方', '丹生川町法力', '丹生川町細越', '丹生川町町方', '丹生川町森部', '丹生川町山口', '八軒町', '八幡町', '初田町', '花岡町', '花岡町', '花川町', '花里町', '馬場町', '東山町', '日の出町', '吹屋町', '冬頭町', '冬頭町', '本母町', '堀端町', '本町', '前原町', '松倉町', '松之木町', '松本町', '緑ケ丘町', '森下町', '山口町', '山田町', '八日町', '若達町']"
多治見市,"['', '青木町', '赤坂町', '旭ケ丘', '旭ケ丘', '生田町', '池田町', '市之倉町', '上野町', '上野町', '上野町', '大沢町', '大畑町', '大畑町', '大畑町赤松', '大畑町大洞', '大畑町西仲根', '大原町', '大針町', '大針町', '大薮町', '大薮町', '奥川町', '小田町', '小田町', '音羽町', '音羽町', '小名田町', '小名田町岩ケ根', '小名田町小滝', '小名田町西ケ洞', '小名田町西山', '小名田町別山', '小名田町東谷', '神楽町', '笠原町', '金岡町', '金山町', '窯町', '上町', '上山町', '北丘町', '北小木町', '喜多町', '希望ケ丘', '京町', '京町', '小泉町', '虎渓山町', '虎渓町', '幸町', '坂上町', '栄町', '三の倉町', '下沢町', '十九田町', '昭栄町', '小路町', '昭和町', '新富町', '新町', '新町', '新町', '末広町', '住吉町', '諏訪町', '精華町', '大正町', '大日町', '太平町', '高田町', '高田町岩曽根', '高田町白粉', '高根町', '宝町', '滝呂町', '田代町', '月見町', '廿原町', '東栄町', '陶元町', '陶元町', '常盤町', '豊岡町', '長瀬町', '中町', '錦町', '錦町', '西坂町', '西山町', '根本町', '白山町', '白山町', '東町', '東山', '光ケ丘', '日ノ出町', '日ノ出町', '姫町', '姫町', '平井町', '平野町', '広小路', '富士見町', '平和町', '弁天町', '星ケ台', '本町', '本町', '本町', '前畑町', '前畑町', '前畑町', '前畑町', '松坂町', '三笠町', '美坂町', '緑ケ丘', '宮前町', '美山町', '御幸町', '明治町', '明和町', '元町', '山下町', '山吹町', '若松町', '脇之島町']"
関市,"['', '相生町', '赤渕', '上利町', '安桜台', '朝倉町', '安桜山', '旭ケ丘', '吾妻町', '池尻', '池田町', '居敷町', '伊勢町', '板取', '市平賀', '市平賀', '一本木町', '稲口', '稲河町', '鋳物師屋', 'いろは町', '植野', '梅ケ枝町', '円保通', '大杉', '大坪', '小瀬', '小瀬長池町', '小瀬南', '小野', '尾太町', '小屋名', '小屋名', '笠屋', '貸上町', '鍛冶町', '春日町', '片倉町', '金屋町', '兼永町', '上大野', '上白金', '神野', '上之保', '河合町', '川間町', '川間町', '観音前', '観音山', '北天神', '北福野町', '吉田町', '貴船町', '希望ケ丘', '桐ヶ丘', '桐ヶ丘', '桐ヶ丘', '桐谷台', '倉知', '倉知', '倉知', '倉知南', '黒屋', '向陽台', '寿町', '小迫間', '小柳町', '西仙房', '栄町', '坂下町', '桜ケ丘', '桜木町', '桜台', '桜本町', '山王通', '山王通西', '四季ノ台', '十軒町', '志津野', '寺内町', '清水町', '下有知', '下有知', '下白金', '下之保', '十三塚北', '十三塚町', '十三塚南', '十六所', '白川町', '新田', '新迫間', '新堀町', '新町', '神明町', '末広町', '住吉町', '清蔵寺', '関口町', '関ノ上', '千年町', '千疋', '千疋北', '側島', '大平台', '大平町', '大門町', '宝山町', '竪切北', '竪切南', '段下', '力山', '月見町', '辻井戸町', '津保川台', '出来町', '寺田', '天徳町', '桃紅大地', '東新町', '塔ノ洞', '常盤町', '吐月町', '戸田', '富之保', '富本町', '豊岡町', '豊川町', '長住町', '中之保', '中福野町', '仲町', '西旭ケ丘', '西居敷', '虹ケ丘北', '虹ケ丘南', '西欠ノ下', '西貸上', '西神野', '西木戸町', '西境松町', '西田原', '西日吉町', '西福野町', '西本郷通', '西町', '西門前町', 'のぞみケ丘', '梅竜寺山', '迫間', '迫間台', '長谷寺町', '花園町', '巾', '馬場出', '春里町', '東貸上', '東貸上', '東桜町', '東志摩', '東仙房', '東田原', '東出町', '東野町', '東日吉町', '東福野町', '東本郷', '東本郷通', '東町', '東門前町', '東山', '肥田瀬', '一ツ山町', '日ノ出町', '平賀町', '広見', '広見北町', '広見東町', '古屋敷町', '平成通', '平和通', '保明', '北仙房', '星ケ丘', '洞戸阿部', '洞戸市場', '洞戸市場', '洞戸大野', '洞戸尾倉', '洞戸小瀬見', '洞戸片', '洞戸栗原', '洞戸黒谷', '洞戸高賀', '洞戸高見', '洞戸小坂', '洞戸菅谷', '洞戸通元寺', '洞戸飛瀬', '本郷町', '本町', '前町', '前山町', '孫六町', '水ノ輪町', '美園町', '緑ケ丘', '緑町', '南貸上', '南春日町', '南仙房', '南出', '南天神', '南町', '宮河町', '宮地町', '美和町', '向西仙房', '武芸川町跡部', '武芸川町跡部', '武芸川町宇多院', '武芸川町小知野', '武芸川町高野', '武芸川町谷口', '武芸川町谷口', '武芸川町八幡', '武芸川町八幡', '武芸川町平', '向山町', '明生町', '元重町', '森西町', '柳町', '山田', '山ノ手', '弥生町', '雄飛ケ丘', '吉野町', '吉本町', '若草通', '若草通', '若宮町']"
中津川市,"['', '阿木', '阿木', '阿木川上', '飯沼', '上野', 'えびす町', '太田町', '小川町', '小川町', '小川町', '落合', '加子母', '加子母', 'かやの木町', 'かやの木町', 'かやの木町', '川上', '川上', '北野町', '駒場', '駒場', '駒場町', '駒場町', '栄町', '坂下', '坂下', '坂下', '坂下', '坂下', '下野', '昭和町', '新町', '瀬戸', '千旦林', '千旦林', '千旦林', '高山', '田瀬', '付知町', '津島町', '手賀野', '苗木', '中一色町', '中川町', '中津川', '中津川', '中津川', '茄子川', '茄子川', '西宮町', '八幡町', '花戸町', '東町', '東宮町', '日の出町', '蛭川', '蛭川', '福岡', '福岡', '本町', '馬籠', '神坂', '宮前町', '桃山町', '桃山町', '柳町', '山口', '淀川町']"
美濃市,"['', '', '', '相生町', '藍川', '安毛', '生櫛', '泉町', '魚屋町', '梅山町', '乙狩', '大矢田', '楓台', '笠神', '加治屋町', '片知', '上河和', '上条', '上野', '亀野町', '神洞', '口野々', '小倉', '極楽寺', '米屋町', 'さくらケ丘', '志摩', '下河和', '下渡', '松栄町', '新町', '須原', '曽代', '立花', '俵町', '段町', '千畝町', '中央', '常盤町', '殿町', '富野', '永重町', '長瀬', '西市場町', '東市場町', '樋ケ洞', '広岡町', '保木脇', '前野', '松倉台', '松森', '御手洗', '港町', '本住町', 'もみじが丘', '横越', '吉川町', '蕨生']"
瑞浪市,"['', '明世町月吉', '明世町戸狩', '明世町山野内', '一色町', '稲津町小里', '稲津町萩原', '稲津町萩原', '稲津町萩原', '上平町', '上平町', '上野町', '大湫町', '小田町', '学園台', '釜戸町', '北小田町', '下沖町', '陶町大川', '陶町猿爪', '陶町水上', '須野志町', '高月町', '樽上町', '寺河戸町', '土岐町', '土岐町', '土岐町', '西小田町', '日吉町', '穂並', '益見町', '松ケ瀬町', '南小田町', '宮前町', '明賀台', '薬師町', '山田町', '和合町']"
羽島市,"['', '足近町', '足近町市場', '足近町北宿', '足近町小荒井', '足近町坂井', '足近町直道', '足近町南宿', '足近町南之川', '江吉良町', '江吉良町', '江吉良町江中', '江吉良町江西', '江吉良町江南', '小熊町', '小熊町相田', '小熊町内粟野', '小熊町江頭', '小熊町川口', '小熊町川口前', '小熊町島', '小熊町島新道', '小熊町島前', '小熊町外粟野', '小熊町天王', '小熊町西小熊', '小熊町東小熊', '上中町一色', '上中町午北', '上中町沖', '上中町中', '上中町長間', '桑原町午南', '桑原町大須', '桑原町小薮', '桑原町西小薮', '桑原町東方', '桑原町平太', '桑原町前野', '桑原町八神', '下中町石田', '下中町市之枝', '下中町加賀野井', '下中町城屋敷', '新生町', '竹鼻町', '竹鼻町', '竹鼻町飯柄', '竹鼻町神楽', '竹鼻町狐穴', '竹鼻町駒塚', '竹鼻町錦町', '竹鼻町西野町', '竹鼻町蜂尻', '竹鼻町丸の内', '福寿町浅平', '福寿町千代田', '福寿町平方', '福寿町本郷', '福寿町間島', '福寿町間島', '舟橋町', '舟橋町出須賀', '舟橋町本町', '舟橋町宮北', '堀津町', '堀津町須賀北', '堀津町須賀中', '堀津町須賀西', '堀津町須賀南', '堀津町中屋敷', '堀津町東山', '堀津町前谷', '堀津町横手', '正木町新井', '正木町大浦', '正木町大浦新田', '正木町上大浦', '正木町坂丸', '正木町須賀', '正木町須賀赤松', '正木町須賀池端', '正木町須賀小松', '正木町須賀本村', '正木町不破一色', '正木町曲利', '正木町光法寺', '正木町三ツ柳', '正木町南及', '正木町森', '正木町森新田']"
恵那市,"['', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町', '明智町阿妻', '明智町大泉', '明智町大田', '明智町吉良見', '明智町吉良見', '明智町杉野', '明智町野志', '明智町東方', '明智町横通', '飯地町', '岩村町', '岩村町', '岩村町', '岩村町飯羽間', '岩村町富田', '大井町', '長島町久須見', '長島町正家', '長島町正家', '長島町永田', '長島町中野', '長島町鍋山', '笠置町河合', '笠置町毛呂窪', '笠置町姫栗', '上矢作町', '上矢作町', '上矢作町', '上矢作町', '上矢作町', '上矢作町', '上矢作町', '上矢作町', '上矢作町', '上矢作町漆原', '上矢作町小田子', '上矢作町下', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '串原', '武並町新竹折', '武並町竹折', '武並町藤', '中野方町', '東野', '三郷町佐々良木', '三郷町野井', '三郷町椋実', '山岡町釜屋', '山岡町上手向', '山岡町上手向', '山岡町久保原', '山岡町下手向', '山岡町田沢', '山岡町田代', '山岡町田代', '山岡町馬場山田', '山岡町原']"
美濃加茂市,"['', 'あじさいヶ丘', '伊深町', '太田町', '太田町', '太田本町', '大手町', '加茂川町', '加茂野町市橋', '加茂野町稲辺', '加茂野町今泉', '加茂野町加茂野', '加茂野町木野', '加茂野町鷹之巣', '川合町', '草笛町', '健康のまち', '古井町下古井', '古井町下古井', '古井町下古井', '島町', '清水町', '下米田町今', '下米田町小山', '下米田町為岡', '下米田町西脇', '下米田町信友', '下米田町則光', '下米田町東栃井', '下米田町山本', '新池町', '田島町', '中部台', '中富町', '西町', '野笹町', '蜂屋台', '蜂屋町伊瀬', '蜂屋町上蜂屋', '蜂屋町上蜂屋', '蜂屋町下蜂屋', '蜂屋町中蜂屋', '蜂屋町矢田', '深田町', '本郷町', '本郷町', '前平町', '牧野', '御門町', '三和町川浦', '三和町廿屋', '森山町', '山崎町', '山手町', '山之上町']"
土岐市,"['', '旭ケ丘町', '泉池ノ上町', '泉岩畑町', '泉梅ノ木町', '泉大島町', '泉大坪町', '泉大沼町', '泉が丘町', '泉北山町', '泉郷町', '泉島田町', '泉神栄町', '泉町大富', '泉町河合', '泉町久尻', '泉町定林寺', '泉寺下町', '泉寺田町', '泉中窯町', '泉仲森町', '泉西窯町', '泉西原町', '泉西山町', '泉東窯町', '泉日之出町', '泉明治町', '泉森下町', '下石阿庄町', '下石町', '下石町', '下石陶史台', '曽木町', '駄知町', '妻木町', '妻木平成町', '鶴里町柿野', '鶴里町細野', '土岐ヶ丘', '土岐ヶ丘', '土岐口北町', '土岐口中町', '土岐口南町', '土岐津町高山', '土岐津町土岐口', '土岐津町土岐口', '土岐津町土岐口', '土岐津町土岐口', '肥田浅野朝日町', '肥田浅野梅ノ木町', '肥田浅野笠神町', '肥田浅野双葉町', '肥田浅野元町', '肥田浅野矢落町', '肥田町浅野', '肥田町肥田', '肥田町肥田', '肥田町肥田', '肥田町肥田', '御幸町']"
各務原市,"['', '', '鵜沼', '鵜沼朝日町', '鵜沼大伊木町', '鵜沼大伊木町', '鵜沼各務原町', '鵜沼各務原町', '鵜沼川崎町', '鵜沼小伊木町', '鵜沼台', '鵜沼大安寺町', '鵜沼西町', '鵜沼羽場町', '鵜沼東町', '鵜沼古市場町', '鵜沼宝積寺町', '鵜沼真名越町', '鵜沼丸子町', '鵜沼三ツ池町', '鵜沼三ツ池町', '鵜沼南町', '鵜沼山崎町', '大佐野町', '大野町', '尾崎北町', '尾崎西町', '尾崎南町', '各務おがせ町', '各務車洞', '各務西町', '各務東町', '各務船山町', '各務山の前町', '神置町', '上中屋町', '川崎町', '川崎町', '川島笠田町', '川島北山町', '川島小網町', '川島河田町', '川島河田町', '川島竹早町', '川島竹早町', '川島松倉町', '川島松原町', '川島緑町', '川島渡町', '金属団地', '小佐野町', '桜木町', '下切町', '下中屋町', '上戸町', '新鵜沼台', '須衛', '須衛町', '蘇原赤羽根町', '蘇原旭町', '蘇原飛鳥町', '蘇原伊吹町', '蘇原大島町', '蘇原柿沢町', '蘇原菊園町', '蘇原北山町', '蘇原吉新町', '蘇原希望町', '蘇原清住町', '蘇原熊田町', '蘇原興亜町', '蘇原興亜町', '蘇原興亜町', '蘇原坂井町', '蘇原栄町', '蘇原早苗町', '蘇原申子町', '蘇原沢上町', '蘇原島崎町', '蘇原昭栄町', '蘇原新栄町', '蘇原新生町', '蘇原新生町', '蘇原瑞雲町', '蘇原青雲町', '蘇原中央町', '蘇原月丘町', '蘇原寺島町', '蘇原東栄町', '蘇原東門町', '蘇原外山町', '蘇原野口町', '蘇原花園町', '蘇原東島町', '蘇原東島町', '蘇原古市場町', '蘇原北陽町', '蘇原三柿野町', '蘇原瑞穂町', '蘇原緑町', '蘇原宮代町', '蘇原宮塚町', '蘇原村雨町', '蘇原持田町', '蘇原吉野町', '蘇原六軒町', '蘇原和合町', 'つつじが丘', 'テクノプラザ', '那加吾妻町', '那加荒田町', '那加芦原町', '那加石山町', '那加岩地町', '那加甥田町', '那加扇平', '那加大谷町', '那加大洞', '那加織田町', '那加御屋敷町', '那加兼橋町', '那加萱場町', '那加柄山町', '那加北栄町', '那加北洞町', '那加桐野町', '那加桐野町', '那加桐野町', '那加桐野外二ケ所大字入会地', '那加楠町', '那加五反田町', '那加琴が丘町', '那加幸町', '那加栄町', '那加桜町', '那加桜町', '那加昭南町', '那加新加納町', '那加新田町', '那加神田町', '那加新那加町', '那加住吉町', '那加大東町', '那加太平町', '那加大門町', '那加手力町', '那加手力町', '那加東亜町', '那加東亜町', '那加東新町', '那加土山町', '那加長塚町', '那加西市場町', '那加西浦町', '那加西那加町', '那加西野町', '那加日新町', '那加野畑町', '那加信長町', '那加巾下町', '那加浜見町', '那加東那加町', '那加東野町', '那加日之出町', '那加雲雀町', '那加日吉町', '那加不動丘', '那加本町', '那加前野町', '那加前洞新町', '那加緑町', '那加南栄町', '那加宮浦町', '那加元町', '那加門前町', '那加山後町', '那加山崎町', '那加山下町', '那加雄飛ケ丘町', '那加楽天地町', '成清町', '入会町', '東山', '前渡北町', '前渡西町', '前渡東町', '前渡東町', '松が丘', '松本町', '三井北町', '三井町', '三井東町', '三井山町', '山脇町', '緑苑北', '緑苑中', '緑苑西', '緑苑東', '緑苑南']"
可児市,"['', '愛岐ケ丘', '石井', '石森', '今', '今渡', '大森', '大森台', '柿下', '柿田', '帷子新町', '桂ケ丘', '兼山', '川合', '川合北', '久々利', '久々利柿下入会', '光陽台', '坂戸', '桜ケ丘', '皐ケ丘', '塩', '清水ケ丘', '下恵土', '下切', '塩河', '菅刈', '瀬田', '禅台寺', '徳野南', '土田', '土田', '土田', '土田', '中恵土', '長坂', '長洞', '虹ケ丘', '虹ケ丘', '西帷子', '二野', '二野', '羽崎', '鳩吹台', '羽生ケ丘', '東帷子', '姫ケ丘', '平貝戸', '広見', '広見', '広見', '広眺ケ丘', '渕之上', '星見台', '松伏', '美里ケ丘', 'みずきケ丘', '緑', '緑ケ丘', '室原', '矢戸', '谷迫間', '若葉台']"
山県市,"['', '相戸', '青波', '赤尾', '伊佐美', '岩佐', '梅原', '円原', '大桑', '大森', '柿野', '掛', '片原', '神崎', '葛原', '小倉', '佐賀', '笹賀', '佐野', '椎倉', '上願', '大門', '高木', '高木', '高富', '田栗', '谷合', '椿', '出戸', '徳永', '富永', '富永', '長滝', '中洞', '西深瀬', '東深瀬', '日永', '平井', '藤倉', '船越', '洞田', '松尾']"
瑞穂市,"['', '居倉', '稲里', '稲里', '牛牧', '大月', '唐栗', '犀川', '重里', '十九条', '十七条', '十八条', '祖父江', '只越', '田之上', '中宮', '七崎', '生津', '生津外宮東町', '生津外宮前町', '生津滝坪町', '生津天王東町', '生津天王町', '生津内宮町', '野田新田', '野白新田', '馬場', '馬場北町', '馬場小城町', '馬場上光町', '馬場上光町', '馬場春雨町', '馬場前畑町', '古橋', '別府', '別府', '宝江', '穂積', '穂積', '本田', '本田', '美江寺', '宮田', '宮田', '森', '横屋', '呂久']"
飛騨市,"['', '神岡町旭ケ丘', '神岡町東雲', '神岡町阿曽保', '神岡町麻生野', '神岡町朝浦', '神岡町跡津川', '神岡町石神', '神岡町伊西', '神岡町岩井谷', '神岡町打保', '神岡町江馬町', '神岡町柏原', '神岡町釜崎', '神岡町小萱', '神岡町坂富町', '神岡町桜ケ丘', '神岡町佐古', '神岡町鹿間', '神岡町鹿間', '神岡町下之本', '神岡町城ケ丘', '神岡町杉山', '神岡町数河', '神岡町巣山', '神岡町瀬戸', '神岡町館野町', '神岡町谷', '神岡町寺林', '神岡町土', '神岡町殿', '神岡町中山', '神岡町梨ケ根', '神岡町西', '神岡町西漆山', '神岡町西茂住', '神岡町野首', '神岡町東漆山', '神岡町東町', '神岡町東町', '神岡町東茂住', '神岡町伏方', '神岡町二ツ屋', '神岡町船津', '神岡町堀之内', '神岡町牧', '神岡町牧ケ平', '神岡町丸山', '神岡町緑ケ丘', '神岡町森茂', '神岡町山田', '神岡町夕陽ケ丘', '神岡町横山', '神岡町吉ケ原', '神岡町吉田', '神岡町六郎', '神岡町和佐府', '神岡町和佐保', '神岡町割石', '河合町天生', '河合町稲越', '河合町有家', '河合町大谷', '河合町元田', '河合町小無雁', '河合町上ケ島', '河合町新名', '河合町月ケ瀬', '河合町角川', '河合町角川', '河合町中沢上', '河合町羽根', '河合町舟原', '河合町保', '河合町保木林', '古川町朝開町', '古川町壱之町', '古川町畦畑', '古川町大野町', '古川町片原町', '古川町金森町', '古川町上気多', '古川町上野', '古川町上町', '古川町貴船町', '古川町黒内', '古川町袈裟丸', '古川町幸栄町', '古川町是重', '古川町栄', '古川町笹ケ洞', '古川町三之町', '古川町下気多', '古川町下野', '古川町新栄町', '古川町末真', '古川町末広町', '古川町杉崎', '古川町数河', '古川町太江', '古川町高野', '古川町谷', '古川町寺地', '古川町戸市', '古川町殿町', '古川町中野', '古川町南成町', '古川町弐之町', '古川町沼町', '古川町野口', '古川町信包', '古川町東町', '古川町平岩', '古川町本町', '古川町本町', '古川町増島町', '古川町宮城町', '古川町向町', '古川町若宮', '宮川町小豆沢', '宮川町鮎飛', '宮川町打保', '宮川町大無雁', '宮川町落合', '宮川町岸奥', '宮川町桑野', '宮川町小谷', '宮川町三川原', '宮川町塩屋', '宮川町菅沼', '宮川町杉原', '宮川町巣之内', '宮川町巣納谷', '宮川町高牧', '宮川町種蔵', '宮川町戸谷', '宮川町中沢上', '宮川町西忍', '宮川町祢宜ケ沢上', '宮川町野首', '宮川町林', '宮川町洞', '宮川町牧戸', '宮川町丸山', '宮川町森安']"
本巣市,"['', '浅木', '有里', '石神', '石原', '海老', '数屋', '上高屋', '上保', '上保', '上真桑', '上真桑', '軽海', '北野', '金原', '郡府', '神海', '小柿', '国領', '木知原', '佐原', '七五三', '下福島', '下真桑', '下真桑', '十四条', '随原', '曽井中島', '宗慶', '外山', '長屋', '鍋原', '温井', '根尾板所', '根尾板所', '根尾市場', '根尾今村', '根尾宇津志', '根尾大井', '根尾大河原', '根尾奥谷', '根尾小鹿', '根尾越卒', '根尾越波', '根尾門脇', '根尾上大須', '根尾川原', '根尾口谷', '根尾黒津', '根尾神所', '根尾下大須', '根尾高尾', '根尾樽見', '根尾天神堂', '根尾中', '根尾長島', '根尾長嶺', '根尾西板屋', '根尾能郷', '根尾東板屋', '根尾平野', '根尾松田', '根尾水鳥', '根尾八谷', '早野', '春近', '日当', '仏生寺', '宝珠ハイツ', '法林寺', '政田', '三橋', '三橋', '三橋', '見延', '文殊', '文殊', '屋井', '山口']"
郡上市,"['', '白鳥町阿多岐', '白鳥町石徹白', '白鳥町大島', '白鳥町恩地', '白鳥町越佐', '白鳥町白鳥', '白鳥町白鳥', '白鳥町為真', '白鳥町長滝', '白鳥町中津屋', '白鳥町中西', '白鳥町那留', '白鳥町野添', '白鳥町干田野', '白鳥町二日町', '白鳥町歩岐島', '白鳥町前谷', '白鳥町向小駄良', '白鳥町六ノ里', '高鷲町鮎立', '高鷲町大鷲', '高鷲町大鷲', '高鷲町切立', '高鷲町西洞', '高鷲町ひるがの', '高鷲町鷲見', '高鷲町鷲見', '八幡町相生', '八幡町安久田', '八幡町旭', '八幡町有坂', '八幡町有穂', '八幡町市島', '八幡町稲成', '八幡町入間', '八幡町大手町', '八幡町尾崎町', '八幡町小那比', '八幡町小野', '八幡町河鹿', '八幡町鍛冶屋町', '八幡町五町', '八幡町肴町', '八幡町桜町', '八幡町島', '八幡町島谷', '八幡町島谷', '八幡町城南町', '八幡町職人町', '八幡町初納', '八幡町新町', '八幡町新町', '八幡町洲河', '八幡町瀬取', '八幡町大正町', '八幡町殿町', '八幡町中坪', '八幡町那比', '八幡町西乙原', '八幡町野々倉', '八幡町橋本町', '八幡町初音', '八幡町初音', '八幡町本町', '八幡町美山', '八幡町向山', '八幡町柳町', '八幡町吉野', '美並町梅原', '美並町大原', '美並町大原', '美並町上田', '美並町高砂', '美並町白山', '美並町白山', '美並町三戸', '美並町山田', '明宝大谷', '明宝小川', '明宝奥住', '明宝寒水', '明宝気良', '明宝畑佐', '明宝二間手', '大和町内ケ谷', '大和町大間見', '大和町落部', '大和町河辺', '大和町神路', '大和町栗巣', '大和町小間見', '大和町島', '大和町剣', '大和町徳永', '大和町名皿部', '大和町野口', '大和町場皿', '大和町福田', '大和町古道', '大和町洞口', '大和町牧', '大和町万場', '和良町安郷野', '和良町鹿倉', '和良町上沢', '和良町上土京', '和良町沢', '和良町沢', '和良町沢', '和良町下沢', '和良町下土京', '和良町下洞', '和良町田平', '和良町土京', '和良町野尻', '和良町東野', '和良町方須', '和良町法師丸', '和良町三庫', '和良町宮地', '和良町宮代', '和良町横野']"
